1:-114.62189887498066 2:5.233434006994958 3:3.636640949116457 4:3.6385301907812346 5:3.6713609121842814 6:1.5394380908151954 7:1.2344398754107901 8:-1.2502675821482385 9:-1.8582039455754953 10:-1.7849528274184117 11:0.10313868472979904 12:0.5935095081743458 
1:-117.25167077864067 2:4.622840118416456 3:4.154740332354513 4:4.786919574956352 5:2.8381024539830175 6:2.5095579946988953 7:2.0730442524020334 8:3.1628684752564684 9:3.876283624314812 10:1.6985485178129198 11:2.130901375767561 12:1.6861384288015615 
1:-114.87834641987696 2:7.165584850559579 3:6.177635124725533 4:4.964645047793827 5:0.5467726974721416 6:1.0877749324893187 7:2.195180465312947 8:-0.13063809904438894 9:-0.6442954476833056 10:-1.2973739523226144 11:-0.8731060459924658 12:1.362160266159652 
1:-110.69939967156908 2:9.576690025863536 3:4.434230736655124 4:1.6602215024559985 5:-0.6093987948496356 6:-0.10703185342196431 7:0.7886759111582271 8:0.9403384465427571 9:2.708656902578825 10:0.7166691195615549 11:2.1405634297242604 12:0.9168126653394792 
1:-89.55032504960973 2:12.230150822926937 3:0.8710713906963026 4:4.224109854027009 5:-2.987674234105718 6:0.47505448447275933 7:0.6249282368751992 8:-1.2073238821516825 9:2.152627799205763 10:0.9295742396843889 11:1.472610531290694 12:0.13235188594694502 
1:-101.08726648860832 2:3.7246525014704233 3:-5.700056314029071 4:10.388684231273277 5:-1.0781441815436636 6:-4.428222794188228 7:3.340612933988628 8:1.3285463581024128 9:-0.05873361996219284 10:1.6209500049161818 11:0.6413723049707136 12:0.5275709574784795 
1:-115.00757039453111 2:2.99585585363901 3:-6.898360985086582 4:1.435146940725792 5:0.44032199231440305 6:-2.68694603223807 7:1.16468675444011 8:6.041223399210505 9:2.0440244550045965 10:-1.0894019668478303 11:4.383919341724903 12:0.46397650511027955 
1:-108.90644629340679 2:8.893569700362155 3:-2.7048994383662235 4:0.8946413597004459 5:6.213375710304556 6:1.4865520876949554 7:-2.21424677808296 8:1.7151327280820512 9:5.987167227748195 10:2.0589993078985955 11:1.447996814483663 12:-2.2726571140981116 
1:-111.68437838812581 2:8.383668727473795 3:-1.5342828011618468 4:1.6865540086603774 5:0.7729272231490931 6:-0.04957087627666823 7:-0.6961928110232423 8:1.04596061591434 9:4.338444420328458 10:-1.328124924537046 11:-2.674865265575982 12:-3.2197650687599184 
1:-98.99573890559691 2:15.604425938014664 3:2.3712060881306494 4:2.182585283174438 5:-1.1483857021265234 6:2.5201932640318874 7:2.6397415981451005 8:0.7409745567502011 9:1.7966464362345071 10:0.042000957421633345 11:0.6868573237557558 12:1.7517788627791941 
1:-106.43785675595538 2:7.359914257602284 3:2.0489072637709866 4:1.344149234628079 5:-0.5159632954390534 6:4.918242211266174 7:-0.009989112591346494 8:-0.621005107467838 9:5.885980880573003 10:0.7603056297093675 11:3.052820100146799 12:-0.18173348443614623 
1:-108.87730884283157 2:9.846786453287137 3:2.0614092328923963 4:4.80525675686885 5:3.5820694743895887 6:6.130932300159227 7:0.0018849558233222652 8:3.027790105414559 9:4.54380636215743 10:-2.6246300161880938 11:1.2149792651046476 12:2.5234942760190497 
1:-104.12040523002017 2:6.2111477505314046 3:0.7778803065115159 4:2.7665693666492537 5:4.688075120190085 6:3.2204947520871268 7:-4.601117473089712 8:-1.9441544016325714 9:2.993377620036616 10:-1.937173522803905 11:0.2940936792600324 12:0.935674414718608 
1:-117.62954702778259 2:3.0339639704126267 3:-1.6719357905816516 4:2.2814837110019535 5:1.5314344966193976 6:1.5825555908882132 7:-4.619987931678676 8:-2.061366048237662 9:3.594639031239018 10:-1.8059665499649618 11:-0.04190849539381425 12:0.8462625498848708 
1:-113.66099876124551 2:6.414898145049959 3:-0.6055380626101128 4:2.222294703859435 5:4.5850200993795935 6:2.4613237396992487 7:-1.648382514870562 8:-0.416375793389272 9:3.656972534116614 10:1.6370181983995131 11:0.5882731658334692 12:1.045294897671707 
1:-120.63450749719692 2:3.721597045703255 3:-0.7998131867208507 4:3.1378759862982375 5:2.2132568851102685 6:-1.0462980269338984 7:-2.050681795733392 8:-5.483398324754425 9:4.1055920483752 10:2.814815302118343 11:0.9329591644110358 12:0.15441291745247776 
1:-124.91527383731562 2:2.812860371065347 3:-1.659460906400736 4:1.4616587206059597 5:2.8246538986824152 6:3.004355707495106 7:0.19277167963997588 8:-3.7960240771101645 9:4.703461589998791 10:4.83662328008212 11:1.65146284314834 12:-2.2634797356280862 
1:-105.51593659646412 2:7.037254496513068 3:0.4078201857374464 4:-0.25778011794644984 5:3.0379559930814706 6:4.247350202961778 7:-0.404378355316775 8:-2.674748898702293 9:1.5089612261659275 10:0.25919877314178974 11:-0.37618932501111146 12:1.311262631412353 
1:-120.76531569139145 2:6.281095660177201 3:-2.0071981433336314 4:0.027689006428829988 5:2.2326686027616724 6:2.9354484529180693 7:-1.4612063225404541 8:-3.874023790814533 9:4.5779855808491305 10:2.2071044011603345 11:3.5181277664176664 12:-0.22871133021160395 
1:-120.40661009278715 2:4.30567159623215 3:-4.265578965171927 4:-1.6743776069163951 5:1.0851317224890469 6:3.1188111921540584 7:-2.0577859094359017 8:-4.864670269579637 9:2.5384713680964204 10:3.3916900886664108 11:0.9270914880202987 12:2.866830701163925 
1:-115.98717889413567 2:6.6209166202616005 3:-1.2980763922910246 4:2.440277559819558 5:3.399536680065121 6:6.026384832487817 7:0.7820679190108502 8:-0.1875523683510929 9:6.498857641983818 10:2.248225007616466 11:-2.1117333578754542 12:-1.281378345403935 
1:-111.52981249895524 2:2.3015904492790975 3:-1.1709321147041396 4:1.8277044734685495 5:4.729016846853996 6:6.226730139456043 7:0.9124439764576224 8:-1.7980808593054056 9:1.8505164094003836 10:1.6596757369284447 11:-0.2703941233269056 12:-0.7366887395403556 
1:-116.84699382191164 2:4.626852890878405 3:2.880995641183444 4:1.6077850616138103 5:2.6131985477197865 6:3.5529332520711168 7:-0.7459701959146008 8:-3.079297993818841 9:2.870569341321473 10:3.413371084483038 11:2.729772854524715 12:-0.43706584799309534 
1:-125.33824109198457 2:-0.36695974129807274 3:0.5105018278895885 4:1.6857529058483003 5:0.12641554084923312 6:1.0625952879757454 7:-0.27353615165847867 8:-1.1871818882182916 9:5.130124725216262 10:2.960101861832368 11:-0.9611700660384379 12:-2.6369519516264037 
1:-115.95516881568912 2:6.537663156095983 3:2.532996334243335 4:1.755793397151829 5:2.0938767021616953 6:1.3841099028426727 7:-2.2357961150155257 8:-0.8399417670428324 9:4.298420371692332 10:2.106191713089315 11:0.5101231747082462 12:-0.4870840039517432 
1:-122.7276209601218 2:5.541669658379854 3:-0.10779921026204153 4:-3.873486735333067 5:-1.1995273692372779 6:2.572462156492306 7:-0.806874058068662 8:-2.374422041820925 9:4.785824388065251 10:0.8090769902959551 11:-2.0473854069405197 12:-3.233939505962463 
1:-114.3228729806079 2:7.7660089813419795 3:1.632865437220131 4:0.9507167330454065 5:-0.19567836972367436 6:2.5668958085376596 7:-1.1127501613679005 8:-2.698626912737054 9:2.693145701211911 10:0.915505907516998 11:-0.7026026476271596 12:0.5583338718743303 
1:-116.02528305620135 2:7.386971049536406 3:0.8327613946022758 4:1.5954502487119955 5:-1.7677654580068545 6:2.0024140161778865 7:-0.2628023267624906 8:-1.6049106395374944 9:5.497920649887682 10:3.308062237435549 11:-0.1764730549402489 12:-2.0086090856082732 
1:-125.73862065963544 2:3.2236912810538616 3:-3.5460022961718805 4:-1.8740448331562893 5:-4.3012196916099175 6:-1.913742412739042 7:-1.1773424471639498 8:-1.8265753297030183 9:7.278922502420279 10:3.151433515618539 11:-1.2329774973661518 12:-2.9556126436235255 
1:-115.1872428808177 2:6.572671488681944 3:3.9028598902504608 4:2.1623321283311525 5:0.04708850232959483 6:-1.7533462413985408 7:0.5262617227169146 8:0.5333322285615836 9:4.469595999200552 10:2.4631110316077347 11:-1.0927035263835068 12:-0.8405436401596069 
1:-119.00244892813926 2:5.944962574681716 3:1.8559022751539196 4:0.757139111425893 5:-3.9852601835231054 6:0.544634640092712 7:-2.2857618434372156 8:-2.0422372162911087 9:4.5756053714180425 10:0.49349710720880724 11:-1.0169013689901036 12:-0.2648073799020785 
1:-123.24517857601849 2:1.2428462139179972 3:0.5399667089018756 4:3.3227393709467146 5:-3.312514333617686 6:-2.547206268442031 7:-0.6227531665773336 8:0.3217000078961654 9:5.92331133889542 10:3.9452027043060522 11:3.851542247989884 12:-4.1453447636512815 
1:-121.47033841292011 2:4.748487271268857 3:3.7876348226153826 4:2.529988654503491 5:-1.6750236459108012 6:-0.41011424088202597 7:1.2425295526844402 8:0.0714381157999151 9:3.7761992710768237 10:0.5264081376726262 11:-0.48927266854402474 12:-2.0170617436814173 
1:-121.36518741386168 2:4.501238466696023 3:-1.4348936250648094 4:-1.5507051180745268 5:-4.554877817122957 6:0.6834520993098674 7:-1.1506334445889062 8:-1.9562650727051372 9:3.987811106148746 10:2.854027568998097 11:-1.3383765747550922 12:-3.6860103698554143 
1:-104.06506510117023 2:8.98037903984759 3:4.352992159644803 4:0.7859049226281463 5:-0.18253891872879224 6:1.3413567065785754 7:1.7272967033446212 8:-1.1883294194295315 9:-0.7794111610077978 10:-0.36033476766754813 11:0.49295030219162195 12:-0.06105094974003933 
1:-119.12345359553693 2:2.6041030591817727 3:0.41320942199338884 4:2.5296294758028184 5:-2.8345185801492705 6:-1.3498761817669647 7:-0.41354674205019526 8:-0.3331995292861816 9:2.1349986442627715 10:0.7098357250745826 11:-1.998913478821022 12:-3.5504166927764755 
1:-115.46092257628246 2:7.348802199982636 3:7.082860488541267 4:3.232315028297584 5:-0.9910474751703613 6:-0.6996721597259508 7:-1.4549606820632457 8:-0.5711723894481713 9:4.158765290145833 10:2.038915362841336 11:1.0192876895935221 12:-0.22701599843153097 
1:-117.71982859822592 2:7.2800149782995 3:3.2523903882866394 4:3.1247515527484317 5:-2.123450567501387 6:2.15010840896228 7:-0.32596830486061856 8:-3.4447684948667954 9:3.176441243000152 10:3.2014668055241557 11:1.1213108540873429 12:-2.878110879002813 
1:-114.7157315504541 2:3.312259803666542 3:4.501949352343768 4:0.7569444305053921 5:0.02457592579079204 6:3.299678647175077 7:1.3978519608037212 8:0.06748142246022804 9:2.5897744408986063 10:1.4221091101824301 11:1.2472304313605669 12:1.6348267214983663 
1:-117.74166127111883 2:4.283655310163712 3:5.1819696378517035 4:2.308118718767753 5:-0.9019966509361108 6:1.6001550080330462 7:1.803871193852134 8:-1.2835400053274508 9:3.528156047905565 10:1.0805634740098946 11:-0.4470398407580438 12:1.5783467470680514 
1:-120.12782217219353 2:4.025679597953389 3:4.805300974726782 4:1.352772215461619 5:-1.7103883257502877 6:5.8270459881658105 7:3.8372682129144433 8:0.6810593509905258 9:2.8582059677598948 10:-0.5982844124282072 11:-0.7163250785134654 12:1.7377875581654494 
1:-126.19978398843907 2:3.6857555235454704 3:-1.1220459216376133 4:1.5644787682112464 5:-0.28278121937762357 6:-0.1444331706246631 7:-1.7078702464718987 8:-1.9318707457755702 9:4.402470126515905 10:1.588764771593775 11:-0.6488230640545103 12:-1.7676887281036544 
1:-117.93048815980501 2:6.683038704172373 3:3.0172385121788006 4:1.214993212706934 5:-0.41580254363756497 6:-0.2475972967332929 7:-0.6607959995723238 8:1.1390677876193278 9:4.487268419561339 10:2.2036423933178373 11:0.5881837337563827 12:-2.6002866368204427 
1:-128.3712942176178 2:-0.5616677749061525 3:-2.5500723526520215 4:1.6313966104323683 5:0.6565847401368492 6:1.2027073725159925 7:0.5849086785413329 8:-0.5508135810647312 9:1.9110223273639986 10:-0.454789409467137 11:-1.637038205953118 12:-1.8176069160063721 
1:-115.91182556789158 2:5.224427294640517 3:3.4543789491617476 4:4.115434101017623 5:-0.8849256004558508 6:0.33526649116725515 7:-0.07760707277893175 8:-0.41270126447404865 9:3.096542218939177 10:1.1377463087628694 11:-0.2029749537879857 12:-0.003636791919551463 
1:-119.07554018532552 2:3.175071647900409 3:-1.498883748606703 4:0.6325681608641913 5:-5.06209392508463 6:-1.5924794104118094 7:2.5549952769354993 8:2.4925858397303067 9:5.445225546257737 10:1.624704427809824 11:-1.1787134361020266 12:-1.6685464984926117 
1:-125.56814682235198 2:2.9952986807163082 3:-0.7386030809697965 4:-3.037381615457295 5:-4.36147034054645 6:-0.671482004234 7:1.7552346388905997 8:1.4115874568632556 9:3.333234761453511 10:2.9928987728186724 11:1.9742357231634604 12:1.3491679127640355 
1:-110.13409041532613 2:10.876873870261058 3:1.7014418387810384 4:1.6622223650459205 5:-3.293025941141452 6:0.4360958935891639 7:1.569166936407579 8:-0.5448849874514847 9:3.402948776663684 10:2.8361540013391453 11:2.79407252492421 12:-0.07209867454017926 
1:-119.14004277135382 2:4.051851819876172 3:-3.016492754520198 4:-4.5232567286115675 5:-2.424520685132879 6:-1.2730425550496327 7:1.1034537997293494 8:3.8614652908063123 9:6.618684780714943 10:-1.142002087203045 11:-0.11307484801898982 12:-3.2640462564846144 
1:-121.4864400215286 2:3.7332025224548784 3:-1.1005716767787508 4:-2.929836456154632 5:-5.946855332281984 6:-0.7343569472013312 7:0.020361227008447447 8:0.09187961539426182 9:6.606845035666942 10:1.6567187532386192 11:-0.4930269071944533 12:-3.049503798831754 
1:-106.3565026130014 2:7.736451785614501 3:3.782498599402352 4:1.6724887152654881 5:-0.9270491085579846 6:0.46796313761312724 7:-1.9872712095636822 8:-1.2673085491051266 9:5.178353235365165 10:2.9751404246015074 11:-0.8146180794835116 12:-0.07120431052865639 
1:-122.42530041321163 2:5.770953674748825 3:0.5717839799459705 4:-2.9026281132869522 5:-7.180891098996863 6:-2.446736055803079 7:0.5434352532561242 8:-0.30819639499880314 9:4.620795318739806 10:2.8015224768826896 11:0.6642701294201085 12:2.6916028115535378 
1:-119.052777366732 2:6.349946332812134 3:1.358474086116121 4:-2.9123076762349798 5:-4.056898138949077 6:0.6043379369241637 7:2.852184121285118 8:-1.4780703510329514 9:0.615355311189564 10:0.8830403874842343 11:0.5135372516796548 12:-1.6060318311883415 
1:-108.32336730646978 2:9.377362004874003 3:2.3087461797810347 4:-1.501863056153645 5:-1.0828986240989749 6:2.055015140017361 7:2.1175074045235363 8:-1.6823116793151889 9:1.9925771195739075 10:-0.8623136716398232 11:-1.0431724760894436 12:-0.8473617812326717 
1:-112.4012307121009 2:9.102462914156098 3:4.807188348339688 4:0.37529436900565694 5:-0.3628577002729818 6:3.231259790330877 7:0.5612966294003603 8:0.46076309284660466 9:3.6234916546264473 10:0.28685979335106815 11:-0.21148816606431087 12:-1.9307825117177662 
1:-121.8060459378455 2:6.3290555564194895 3:3.4270376890864958 4:0.8879969743807385 5:-0.547306476857925 6:1.8386871476814206 7:-2.4306430138845405 8:-1.863145242348315 9:1.0284674749560678 10:-1.099333583987689 11:-1.6771551917916578 12:-2.3549840359802685 
1:-118.69890126250034 2:3.442476883350273 3:2.943693738041938 4:-1.020490604724622 5:-2.294383642246268 6:3.222222779161839 7:2.07029676206018 8:-1.628450209098133 9:0.12084061657476086 10:-1.4833358635133393 11:-0.32508084925053904 12:0.04058488945625793 
1:-117.49360705951615 2:4.441782774755604 3:2.903149163337865 4:1.571298101325334 5:1.9089139110236966 6:1.2415163237053282 7:-2.3985803344287193 8:-2.1310805066217946 9:1.298036306631262 10:-0.1085740232463066 11:0.30643590536091647 12:-0.5001295489995781 
1:-126.71617286742165 2:3.873832517840551 3:0.8351708216239881 4:-0.413517284185553 5:-2.438014289340915 6:1.8569076916817666 7:0.7626594403478384 8:-3.2367558659097844 9:3.3658107719903025 10:0.29385379599144734 11:-3.7717847290942106 12:-2.743459030270059 
1:-119.6781641444025 2:7.458578940838055 3:4.253836885516409 4:0.693605740491908 5:1.9718656206609229 6:1.7603033128903958 7:1.302036994030058 8:0.18122667057832986 9:2.6680003109749837 10:0.49846104732269136 11:-0.05278497274011329 12:0.11764755850837627 
1:-118.57014467651592 2:6.679969185291746 3:5.816910190718167 4:4.232763022743047 5:1.766957583410285 6:0.7398755047881753 7:0.017557344926798724 8:-0.3047897095435834 9:5.452649758034106 10:-0.06378536854362027 11:-1.5359598424546546 12:0.17582404913736616 
1:-121.13283873390526 2:5.831086815612422 3:0.8847791323661136 4:-0.587270866781429 5:-1.8653680743355259 6:-0.8232441950834923 7:-2.062301454071312 8:-2.137106537695662 9:2.829615782512528 10:0.9651874090816421 11:2.2125832372384484 12:0.5394355139991371 
1:-107.40509828715798 2:8.173007817249832 3:6.53449987292374 4:-0.033551941457733214 5:1.1858085799017983 6:4.672542312841591 7:0.6978069368142505 8:-1.2611139732364625 9:-1.4915700082126704 10:-2.7719841481740723 11:0.7700025185870181 12:0.6317625203743429 
1:-112.39418969577063 2:8.744970639805345 3:4.492243454315569 4:-1.98858269581687 5:-0.5987705657473588 6:1.2699920401977969 7:0.0978544636877694 8:-1.974040459810511 9:2.9828067081605067 10:1.8605869941822808 11:1.0098663220424497 12:0.4215957930843528 
1:-113.66504150423313 2:8.08475672538036 3:2.0052012422345684 4:1.8018080246522565 5:1.3338195016375756 6:-0.8028555673217483 7:-1.76081679386773 8:1.104073285954331 9:7.128756932000752 10:2.096752573843987 11:-0.39785860193636857 12:-3.75320796079698 
1:-113.24512830006319 2:8.95870936963804 3:1.402498789412785 4:-2.7861190268960265 5:-2.614733393043546 6:0.14068752237024107 7:-0.27594821893636823 8:-1.5874826357963254 9:5.099289487965816 10:2.9111201091162338 11:-0.492779321357236 12:-1.6571278864124261 
1:-114.20013561906961 2:8.035492540801329 3:2.2553825241667527 4:-0.41297984433545576 5:-3.175158476139093 6:0.7124544339073577 7:1.7635542262461739 8:1.805789953162226 9:7.279054728584381 10:2.1646276877523603 11:2.1215128068968885 12:0.3369728925661062 
1:-111.04858680667154 2:8.822603959045184 3:1.3505221658732354 4:1.4019061327237123 5:-1.1080991748072204 6:-2.0154671340221064 7:-2.0325879434146477 8:-1.2736966128314378 9:6.525589965185711 10:3.110166785587039 11:0.7924542389027196 12:-1.123031059933695 
1:-110.76768595933954 2:7.329943253280977 3:-0.6172052732008351 4:-0.6506728349265662 5:3.3609265488226283 6:0.19124909283415548 7:-1.628957326215398 8:4.5551391111020205 9:6.114237917051589 10:2.0016885859462605 11:0.7488080196173423 12:-1.092832175223089 
1:-111.76186661215174 2:7.0004652221462536 3:-1.070765281519518 4:-3.0393488636867003 5:-2.235402901310001 6:-3.001560744376356 7:-4.756980074257708 8:-4.03099002664907 9:2.879844721977641 10:3.7218962220556575 11:1.7778401476464887 12:0.9158120364840152 
1:-121.29489280532962 2:8.076067208429594 3:0.2945879711621231 4:-3.572388664850849 5:-4.656508894385999 6:1.0524403570213727 7:-1.4535838572450412 8:-1.0365811365923623 9:4.330184730844929 10:2.390072949590412 11:0.7059072859860964 12:0.13801948118062057 
1:-115.82982676087296 2:7.886757086831624 3:2.5404957959258474 4:-1.4678808215356267 5:2.0499501994577423 6:0.4794565222008429 7:-4.792973879148864 8:-0.1657526022639626 9:6.742323025514844 10:0.6503595037649315 11:-0.49063572168787006 12:-0.1758512312381999 
1:-112.28011822414327 2:7.85181908169774 3:-0.44186197837547336 4:0.23679767226458104 5:-0.5656807363526468 6:0.827974958203971 7:0.20923683543490057 8:1.43959760178072 9:2.5256052078078577 10:-1.5795757154805905 11:-1.4128973426718519 12:1.244030180380717 
1:-111.99533108504971 2:7.61242844655246 3:0.03497902836907674 4:-2.2910699958100076 5:-1.1173148544005524 6:-1.2737315799634592 7:-2.400380418594682 8:-1.4707175803441057 9:2.910172742604339 10:-0.08308794034796252 11:-2.336795265236706 12:-2.6574247615472504 
1:-117.02446384461774 2:7.014727469162955 3:0.2680272071289327 4:-3.099447542543987 5:-3.010183170815633 6:-0.33226371099090724 7:-1.569912724774717 8:-2.6323956337217735 9:0.7797867489490162 10:0.02570509810973398 11:-0.051829504608026156 12:-2.031310650753063 
1:-113.23599260964323 2:10.999587484208318 3:3.8108757952927874 4:0.8000813207848347 5:-1.8237736719960815 6:0.5899326586234692 7:-0.05211293981642573 8:-0.5167720109115725 9:1.5772936039115932 10:-0.30096669323967307 11:-0.2251445400068226 12:-0.4002230180345938 
1:-115.29991208653566 2:8.017888402529277 3:-0.3335137053619812 4:-3.2268237393466053 5:-3.0440666612616476 6:1.276413968395028 7:-0.015216687585808852 8:-1.5407443600825044 9:2.363903410318251 10:-2.588995017847249 11:1.6369642717844024 12:1.2208094683188802 
1:-114.39958575961721 2:8.215235565712835 3:2.2500206490363763 4:0.10953245544641099 5:0.8483670958702341 6:-1.0925287163450164 7:-0.8659268792840344 8:0.3648173752899524 9:1.6706563852276752 10:-3.990736990322204 11:-2.8077446517131053 12:1.1984106521937603 
1:-112.95600316312493 2:5.19474792381004 3:0.22101154193565797 4:-1.461915207567385 5:0.8555549889204133 6:0.6398427312857029 7:-0.4049143790247087 8:1.5994951180847556 9:5.413841199195748 10:0.7862326458633122 11:-0.930608379202774 12:-0.2126750869117222 
1:-107.25884310090079 2:8.47582385797196 3:1.0627572779504488 4:-3.2354647570164605 5:-1.41132936274676 6:-2.3755851743256873 7:-1.9276299609032752 8:-0.9710365215665009 9:3.613894439927506 10:1.2637017120168506 11:0.2027995835476193 12:0.14384420703188727 
1:-108.66845113933802 2:10.624490212668448 3:2.779402989031235 4:0.17423235379705693 5:-0.030325914261764897 6:-1.802911378274945 7:-4.348117332143316 8:-2.571435995384642 9:2.4572357820280017 10:-1.875902394382329 11:-1.436263079652867 12:1.1538340962366322 
1:-115.72846691692152 2:7.854536425610877 3:0.8933074622267743 4:0.22021138408224417 5:2.03412879490371 6:-0.4728179100001415 7:-4.027955763281538 8:-0.9549066019890442 9:2.587578864272115 10:1.0255231310596513 11:-0.849086198598441 12:-0.31611761071866296 
1:-105.32139544736017 2:10.859104771420537 3:3.1187628472884374 4:-0.9687217532274768 5:0.9702996561817021 6:2.6950077781945594 7:-0.7094917838418198 8:-1.683007354891724 9:0.7245869657867674 10:-1.904757588864356 11:-1.451553119281063 12:1.5062615699892428 
1:-105.95771307927572 2:8.31279504991571 3:0.08820892848604478 4:0.5807999561951278 5:2.2830105497596453 6:0.30942342416242674 7:-1.6213426024910431 8:-0.5666846720845315 9:2.2872880145619776 10:-2.381872573475195 11:-2.3902788212079136 12:0.30444163993961837 
1:-111.44503043593176 2:9.697428129250149 3:-0.9906578873520226 4:-2.512776726463147 5:2.1991525504544867 6:1.4725927383375264 7:-0.07156787808725262 8:-0.05817906675116813 9:1.1559585830957846 10:-1.803003470614681 11:-2.99403063212653 12:-0.5612709339216662 
1:-108.8096786646328 2:13.596061267436077 3:2.3517049139946806 4:-2.983023350196592 5:-3.9793147938370286 6:-1.6004023405172703 7:-0.861472289217569 8:-0.4102549436457634 9:2.4944702364359785 10:0.5182769529625593 11:-0.5534001960414572 12:-1.6736214199164707 
1:-94.4472505611665 2:8.28860342049956 3:-1.119785615913544 4:-3.1059064756154653 5:-1.044639165279226 6:0.2121268917725021 7:2.202248307916312 8:1.322653793978763 9:-0.32214774492351905 10:-2.8668697665686045 11:-0.9045099385368807 12:0.5800969240119094 
1:-108.76868621610939 2:8.53783895181737 3:-0.9516717873222813 4:-0.9528082854386364 5:-0.6204589292510034 6:-0.049204608529029414 7:-2.8476025257119737 8:2.025965590854458 9:5.522328890809536 10:0.2810120211769336 11:-1.8851018689578378 12:-1.79138388915639 
1:-106.77007212552803 2:11.530641433886613 3:-0.5321078972285149 4:-3.9934160768998095 5:-3.0475136192837033 6:-2.8853406852526025 7:-1.0592922150206054 8:1.7042657156355827 9:2.229393459242461 10:-2.4693158154846993 11:-3.4728644842498304 12:-0.06848253436333751 
